,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
8754,816085,Harvest Home,Thomas Tryon,0394485289,3.87,1973,12,5,Knopf,5:2131,4:2376,3:1613,2:459,1:168,total:6747,492,en-US,,"It was almost as if time had not touched the village of Cornwall Coombe. The quiet, peaceful place was straight out of a bygone era, with well-cared-for Colonial houses, a white-steepled church fronting a broad Common. Ned and Beth Constantine chanced upon the hamlet and immediately fell in love with it. This was exactly the haven they dream of. Or so they thought.<br /><br />For Ned and his family, Cornwall Coombe was to become a place of ultimate horror.",401.0,492.0
9007,816552,Shantaram,Gregory David Roberts,0349117543,4.27,2005,24,3,Abacus,5:82832,4:46713,3:18426,2:6118,1:3203,total:157292,525,eng,,"""It took me a long time and most of the world to learn what I know about love and fate and the choices we make, but the heart of it came to me in an instant, while I was chained to a wall and being tortured.""<br /><br />So begins this epic, mesmerizing first novel set in the underworld of contemporary Bombay. Shantaram is narrated by Lin, an escaped convict with a false passport who flees maximum security prison in Australia for the teeming streets of a city where he can disappear.<br /><br />Accompanied by his guide and faithful friend, Prabaker, the two enter Bombay's hidden society of beggars and gangsters, prostitutes and holy men, soldiers and actors, and Indians and exiles from other countries, who seek in this remarkable place what they cannot find elsewhere.<br /><br />As a hunted man without a home, family, or identity, Lin searches for love and meaning while running a clinic in one of the city's poorest slums, and serving his apprenticeship in the dark arts of the Bombay mafia. The search leads him to war, prison torture, murder, and a series of enigmatic and bloody betrayals. The keys to unlock the mysteries and intrigues that bind Lin are held by two people. The first is Khader Khan: mafia godfather, criminal-philosopher-saint, and mentor to Lin in the underworld of the Golden City. The second is Karla: elusive, dangerous, and beautiful, whose passions are driven by secrets that torment her and yet give her a terrible power.<br /><br />Burning slums and five-star hotels, romantic love and prison agonies, criminal wars and Bollywood films, spiritual gurus and mujaheddin guerrillas---this huge novel has the world of human experience in its reach, and a passionate lovefor India at its heart. Based on the life of the author, it is by any measure the debut of an extraordinary voice in literature.",933.0,525.0
9235,816953,Someone Like You,Sarah Dessen,0142401773,3.93,2004,11,5,Penguin,5:32941,4:30473,3:23825,2:5686,1:1325,total:94250,3481,eng,,"Halley has always followed in the wake of her best friend, Scarlett. But when Scarlett learns that her boyfriend has been killed in a motorcycle accident, and that she's carrying his baby, she's devastated. For the first time ever, Scarlett really needs Halley. Their friendship may bend under the weight, but it'll never break—because a true friendship is a promise you keep forever.",281.0,3481.0
9436,817357,"Yendi (Vlad Taltos, #2)",Steven Brust,0441944604,4.13,1987,15,3,Ace,5:3098,4:3488,3:1566,2:171,1:27,total:8350,196,en-US,,"Vlad Taltos tells the story of his early days in the House Jhereg, how he found himself in a Jhereg war, and how he fell in love with the wonderful woman, Cawti, who killed him.",224.0,196.0
9437,817358,"Teckla (Vlad Taltos, #3)",Steven Brust,0441799779,3.91,1987,1,1,Ace,5:1889,4:2563,3:1635,2:344,1:55,total:6486,69,eng,,"The third to be published, this is actually the fifth entry in the timeline of the VLAD TALTOS books, and it represents a darker, more serious turn in the series. Vladimir Taltos is a short-lived, short-statured Easterner (what we would call a human) in a world mostly populated by the long-lived, extremely tall Dragaerans. He is also an assassin and petty crimelord. His lifestyle and career require some difficult moral choices. When his wife Cawti joins an uprising of Easterners and peasant Dragaerans (the Teckla of the title), it causes a severe strain in their marriage, and Vlad begins to question those choices. <br /><br /><br /><br /><br />THE TECKLA WERE REVOLTING<br />I'd always known they were. Teckla were lazy, stupid, cowardly peasants. Revolting. Old joke. But now they were revolting against the Empire. New joke. And a Jhereg crimelord, feeling the pinch, was popping the rebels. No joke. But the real joke? I was protecting them, from Me. Lord Vlad Taltos-loyal grandson, loving husband. Jhereg. Sorcerer. Assassin. Everything the rabble hated. Not that I craved wet-nursing a mob of slogan slobbering, doomed radical loonies, all of whom wanted me dead. Particularly since my royal peers, all of House Jhereg, also wanted me dead...",214.0,69.0
9712,817792,We Need to Talk About Kevin,Lionel Shriver,1582432678,4.08,2003,25,3,Counterpoint LLC,5:63215,4:53672,3:22050,2:7428,1:4918,total:151283,207,en-US,,"<p> The gripping international bestseller about motherhood gone awry. </p> <p> Eva never really wanted to be a mother and certainly not the mother of the unlovable boy who murdered seven of his fellow high school students, a cafeteria worker, and a much-adored teacher who tried to befriend him, all two days before his sixteenth birthday. Now, two years later, it is time for her to come to terms with marriage, career, family, parenthood, and Kevin's horrific rampage in a series of startlingly direct correspondences with her estranged husband, Franklin. Uneasy with the sacrifices and social demotion of motherhood from the start, Eva fears that her alarming dislike for her own son may be responsible for driving him so nihilistically off the rails. </p>",400.0,207.0
9817,817982,Stone Fox,John Reynolds Gardiner,0064401324,4.04,2010,27,4,HarperCollins,5:5624,4:4461,3:2729,2:725,1:316,total:13855,1136,,,"<strong>John Reynolds Gardiner's classic action-packed adventure story about a thrilling dogsled race has captivated readers for more than thirty years. </strong><strong>This middle grade novel is an excellent choice for tween readers in grades 5 to 6, especially during homeschooling. It’s a fun way to keep your child entertained and engaged while not in the classroom.</strong><br /><br />Based on a Rocky Mountain legend, <em>Stone Fox</em> tells the story of Little Willy, who lives with his grandfather in Wyoming. When Grandfather falls ill, he is no longer able to work the farm, which is in danger of foreclosure. Little Willy is determined to win the National Dogsled Race—the prize money would save the farm and his grandfather. But he isn't the only one who desperately wants to win. Willy and his brave dog Searchlight must face off against experienced racers, including a Native American man named Stone Fox, who has never lost a race.<br /><br />Exciting and heartwarming, this novel has sold millions of copies and was named a <em>New York Times</em> Outstanding Children's Book.",96.0,1136.0
9868,818056,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,1551929767,4.62,2007,21,7,Bloomsbury Publishing Plc/Raincoast Books,5:1960662,4:532119,3:156299,2:33318,1:22089,total:2704487,952,eng,,Harry is waiting in Privet Drive. The Order of the Phoenix is coming to escort him safely away without Voldemort and his supporters knowing - if they can. But what will Harry do then? How can he fulfill the momentous and seemingly impossible task that Professor Dumbledore has left him?,607.0,952.0
9893,818108,Norwegian Wood,Haruki Murakami,0099448823,4.03,2003,4,7,Vintage,5:116566,4:128763,3:60442,2:15725,1:4609,total:326105,881,eng,,"<i>Alternate cover edition <a href=""https://www.goodreads.com/book/show/17161156-norwegian-wood"" rel=""nofollow"">here</a>.</i><br /><br />When he hears her favourite Beatles song, Toru Watanabe recalls his first love Naoko, the girlfriend of his best friend Kizuki. Immediately he is transported back almost twenty years to his student days in Tokyo, adrift in a world of uneasy friendships, casual sex, passion, loss and desire - to a time when an impetuous young woman called Midori marches into his life and he has to choose between the future and the past.",389.0,881.0
9894,818109,Kafka on the Shore,Haruki Murakami,0099458322,4.14,2005,6,10,Vintage,5:118655,4:110340,3:44486,2:11216,1:4112,total:288809,543,eng,,"<i>Alternate cover edition <a href=""https://www.goodreads.com/book/show/17186635-kafka-on-the-shore"" rel=""nofollow"">here</a>.</i><br /><br /><i>Kafka on the Shore</i>, a tour de force of metaphysical reality, is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom. Their odyssey, as mysterious to them as it is to us, is enriched throughout by vivid accomplices and mesmerizing events. Cats and people carry on conversations, a ghostlike pimp employs a Hegel-quoting prostitute, a forest harbors soldiers apparently unaged since World War II, and rainstorms of fish (and worse) fall from the sky. There is a brutal murder, with the identity of both victim and perpetrator a riddle—yet this, along with everything else, is eventually answered, just as the entwined destinies of Kafka and Nakata are gradually revealed, with one escaping his fate entirely and the other given a fresh start on his own.",505.0,543.0
